node_id,lat,lon
330779066,53.716117,91.4590023
330779067,53.7164713,91.4588947
1588404957,53.7209345,91.4546755
1588404951,53.7207489,91.4547617
9345219647,53.7198231,91.4552023
330948854,53.7195049,91.4553538
9345219648,53.719277,91.4554416
9345219642,53.7187943,91.4556275
9345219639,53.7185423,91.4557246
8118434492,53.7184584,91.4557608
330695834,53.7183559,91.4558154
330779157,53.7223437,91.456828
1589932744,53.7223108,91.45658
1589932743,53.7222472,91.4560965
330948906,53.7220049,91.4542517
330949278,53.7220271,91.4540385
330949239,53.7218749,91.4527436
989837235,53.7200686,91.4482279
8105326987,53.7200818,91.4483261
1588492003,53.7201784,91.4490546
1589936533,53.7202084,91.4492687
6754429734,53.7203683,91.4504597
5877980929,53.7204343,91.4509512
989837632,53.7205009,91.4514471
6311059518,53.720591,91.4521181
989837634,53.7207089,91.4529955
1590006753,53.719558,91.4578883
1590006762,53.7196152,91.4580068
1590352857,53.7197198,91.4582443
1590352869,53.7197514,91.4583017
1590352879,53.719782,91.4583489
1590352881,53.7198151,91.4583961
1590352882,53.7198822,91.4584916
1590075000,53.7156567,91.449878
1590075096,53.7159136,91.4498173
1590075261,53.7165311,91.4497153
8111274854,53.7165686,91.449708
1590075341,53.7168168,91.4496998
1590317127,53.7168457,91.4492565
1590317150,53.7174103,91.4491204
1590317159,53.7175178,91.4489972
8105326981,53.7175539,91.448985
989835731,53.7177008,91.448917
1588312298,53.7195663,91.4444808
1588325658,53.7195783,91.4446125
1588312312,53.7196408,91.4452511
8383620891,53.7198257,91.4451958
1588312348,53.7199038,91.4451643
1588468321,53.7191489,91.4514067
1588468300,53.7190702,91.4505573
1588491993,53.7189519,91.4494021
8082980151,53.7189143,91.4490362
1588312242,53.7188632,91.4485633
1588312542,53.7212901,91.4439695
1588312544,53.721306,91.4441432
1588312550,53.7214044,91.4451612
1588312546,53.7213681,91.445529
1588312414,53.7202664,91.4457856
1588312353,53.7199129,91.4452463
1588312357,53.7199278,91.4453816
1588312433,53.7203504,91.4452614
1588312513,53.7207734,91.4451441
1588356790,53.7196538,91.4483433
7370284134,53.7196402,91.4481769
1588356789,53.7196116,91.4478779
8082878294,53.7188315,91.4481001
1588356797,53.721219,91.4478928
7370288417,53.7212045,91.4477536
1588356796,53.7211484,91.4472168
1588356798,53.7215346,91.4471124
1588404862,53.718195,91.4543689
9345219641,53.7184017,91.4543164
1588404865,53.7186628,91.4542502
1588404870,53.71877,91.4543472
1588404879,53.7188637,91.4544151
1588404887,53.7189861,91.4544636
1588404894,53.7190703,91.4544539
1588404913,53.719715,91.4542502
1588404914,53.7197265,91.4543472
1588409101,53.7195366,91.4535351
1588409099,53.7194614,91.4528553
1588409092,53.7188927,91.453183
1588409093,53.7189306,91.4535717
1588409097,53.7190983,91.4535991
1588409102,53.72024,91.4533065
330695824,53.7173551,91.4451334
5899065425,53.7184173,91.4448202
1588592706,53.7189377,91.4446667
8110054130,53.7191192,91.444613
1588312323,53.7197463,91.4444244
1588592753,53.7202014,91.4442872
6311059507,53.7206432,91.4441531
8383620882,53.7213493,91.4439533
6311059515,53.7214321,91.443929
8100821559,53.7214735,91.4439168
1588257447,53.7220767,91.4437356
330935027,53.7221735,91.4437039
8340902429,53.7200991,91.4490771
1588592687,53.7180562,91.4419137
1588631992,53.7181258,91.4427073
1588632009,53.7181378,91.44285
1588592688,53.7181426,91.4429064
1588592679,53.7175369,91.4420604
1588592694,53.7183705,91.4418267
1588592703,53.7189207,91.4445038
1588592701,53.7188902,91.4441524
1588592666,53.7174788,91.4414741
1588592669,53.7174985,91.4416826
1588592676,53.7176113,91.4427933
1588592654,53.7173545,91.4429177
1588592642,53.7171561,91.4430235
1588632060,53.7183222,91.4426755
1588632091,53.718388,91.443372
1588632150,53.7186586,91.4432867
1588632146,53.7186278,91.4428484
1589343171,53.7148112,91.459042
1589343375,53.7149559,91.458989
1589343642,53.7151992,91.4588637
1589343900,53.7154957,91.4586432
1589343979,53.7156133,91.4586432
1589343998,53.7157051,91.4586732
1589344028,53.7157921,91.4586405
1589344042,53.7158388,91.458616
1589344056,53.7159081,91.4585398
1589344068,53.7159484,91.4584363
330799012,53.715144,91.4554572
1589343626,53.7151856,91.4556313
1589343721,53.715242,91.4561786
1589343663,53.7152178,91.4563392
1589343707,53.7152404,91.4566386
1589343759,53.7153145,91.4567394
1589343867,53.7154579,91.4566958
1589343934,53.7155191,91.4571151
1589343972,53.7155868,91.4571341
1589343983,53.7156238,91.4571967
1589344038,53.7158155,91.4571368
1589344025,53.7157914,91.4567421
1589343013,53.7147233,91.4508703
1589343088,53.7147555,91.450766
1589343246,53.7148676,91.4506601
1589343303,53.7149118,91.4506217
1589343403,53.7149813,91.4505703
1589343567,53.715118,91.4505046
1589343546,53.7150986,91.4502106
1589343566,53.715118,91.4497995
1589343511,53.7150648,91.449413
1589343299,53.7149021,91.4494538
1589343216,53.7148457,91.4493204
1589343048,53.7147442,91.4493177
1589342970,53.7147039,91.4492033
1589342714,53.7145638,91.4492387
1589343863,53.715436,91.4575706
1589343975,53.7156036,91.4575434
1589342907,53.7146857,91.4472911
1589342868,53.7146519,91.4468991
1589342794,53.7146148,91.4465806
