from,to,street_name
8086789340,1589993554,улица Островского
1589993554,8086789338,улица Островского
8086789338,330779461,улица Островского
1589993657,1589993659,-
1589993659,1589993640,-
1589993801,1589993804,-
1589993804,1589993819,-
1589993819,1589993777,-
1589993693,1589993665,-
1589993665,1589993645,-
1589993645,1589993644,-
1589993688,1589993657,-
1589993657,1589993642,-
1589993642,1589993637,-
1590058408,1590058409,-
1590058409,1590058419,-
1590058419,9298389241,-
9298389241,1589993643,-
1589993822,10172992132,-
10172992132,1589993801,-
1589993801,1589993764,-
1589993764,1589993735,-
1589993735,1589993692,-
1589993762,8123613646,-
8123613646,9298389242,-
9298389242,8123613647,-
8123613647,1589993757,-
1589993757,1589993755,-
1589993755,1589993737,-
1589993737,8123382275,-
8123382275,1589993734,-
1589993546,1589993592,-
1589993592,1589993598,-
1589993598,1589993596,-
1589993596,1589993613,-
1589993613,1589993635,-
1589993757,1589993727,Промышленная улица
1589993727,1589993724,Промышленная улица
1589993724,1589993696,Промышленная улица
1589993696,8123373746,Промышленная улица
8123373746,8123373750,Промышленная улица
8123373750,1589993693,Промышленная улица
1589993693,1589993688,Промышленная улица
1589993688,1589993673,Промышленная улица
1589993673,1589993692,Промышленная улица
1589993692,1589993675,Промышленная улица
1589993472,1589993474,-
1589993474,1589993519,-
1589993519,1589993521,-
1589993521,1589993542,-
1589993542,1589993546,-
1589993546,1589993561,-
1589993561,1589993556,-
1589993556,1589993497,-
330779157,1590006848,Советская улица
1590006848,1590353073,Советская улица
1590353073,1590353075,Советская улица
1590353075,1590353078,Советская улица
1590353078,1590006851,Советская улица
1590006851,1590006852,Советская улица
1590006852,1590006854,Советская улица
1590006854,1590006856,Советская улица
1590006856,1590006858,Советская улица
1590006858,1590006859,Советская улица
1590006859,1590006861,Советская улица
1590006861,1590006862,Советская улица
1590006862,1590006863,Советская улица
1590006863,1590006865,Советская улица
1590006865,1590006868,Советская улица
1590006868,1590006870,Советская улица
1590006870,1590006871,Советская улица
1590006871,1590006872,Советская улица
1590006872,1590353083,Советская улица
1590353083,1590006875,Советская улица
1590006875,1590353091,Советская улица
1590353091,1590353125,Советская улица
1590353125,1590006877,Советская улица
1590006877,1590006879,Советская улица
1590006829,1590353032,Хакасская улица
1590353032,1590353033,Хакасская улица
1590353033,1590353034,Хакасская улица
1590353034,1590353035,Хакасская улица
1590058346,1590058345,-
1590058443,1590058441,-
1590058441,1590058447,-
1590058340,1590058339,-
1590058339,1590058343,-
1590058343,9128928840,-
9128928840,8697244658,-
1589993643,1590058443,улица Герцена
1590058443,9298389243,улица Герцена
9298389243,8474365401,улица Герцена
8474365401,1589993762,улица Герцена
1589993762,1589993777,улица Герцена
1589993777,8173449768,улица Герцена
8173449768,1516237057,улица Герцена
1590075096,1590075074,-
330778036,1590075340,-
1590075562,8082991250,-
8082991250,8082991246,-
8082991246,8082991245,-
8082991245,1590075569,-
1590075203,1590075133,-
1590075529,1590075513,-
1590075513,1590075431,-
1590075533,1590075515,-
1590075515,1590075505,-
1590075384,1590075361,-
1590075361,1590075353,-
1590075543,1590075504,-
1590075504,1590075432,-
1590075432,1590075509,-
1590075430,1590075436,-
1590075436,1590075408,-
1590075408,1590075438,-
1590075477,1590075454,-
1590075454,1590075426,-
1590075426,8082980146,-
8082980146,1590075405,-
1590075507,1590075405,-
1590075405,1590075341,-
1590075263,1590075311,-
1590075311,1590075349,-
1590075349,1590075344,-
1590075143,1590075356,-
1590075356,8082990377,-
8082990377,1590075398,-
1590075398,1590075444,-
1590075444,1590075357,-
10096657740,1590075603,-
1590075603,1590075535,-
1590075535,1590075338,-
1590075338,1590075255,-
1590075568,8132956911,-
8132956911,1590075477,-
1590075477,1590075422,-
1590075422,1590075359,-
1590075359,1590075363,-
1590075363,1590075225,-
1590075599,8082982563,-
8082982563,1590075569,-
1590075569,1590075547,-
1590075547,1590075529,-
1590075529,1590075448,-
1590075448,8123327115,-
8123327115,1590075479,-
1590075605,10096657740,-
1590075602,1590075564,-
1590075564,1590075503,-
1590075503,1590075509,-
1590075509,8123330912,-
8123330912,1590075543,-
1590075543,1590075560,-
1590075535,1590075533,-
1590075533,1590075539,-
1590075539,1590075545,-
1590075545,1590075601,-
1590075601,1590075596,-
1590075174,1590075203,-
1590075203,6754429742,-
6754429742,6503425437,-
1590075361,1590075322,-
1590075322,1590075289,-
1590075289,1590075222,-
1590075222,1590075199,-
1590075199,1590075353,-
1590075353,1590075373,-
330696249,1590075329,-
1590075329,7950463607,-
7950463607,1590075330,-
1590075330,1590075321,-
1590075321,7950449072,-
7950449072,1590075233,-
1590075233,1590075201,-
1590075590,8082985430,-
8082985430,1590075562,-
1590075562,8082972668,-
8082972668,1590075485,-
1590075485,1590075446,-
1590075446,1590075371,-
1590075371,1590075344,-
1590075344,1590075279,-
1590075279,1590075174,-
1590075174,1590075105,-
330935027,8100821556,проспект Ленина
8100821556,1590315152,проспект Ленина
1590315152,1588356802,проспект Ленина
1588356802,8341103755,проспект Ленина
8341103755,8292204002,проспект Ленина
8292204002,8105326961,проспект Ленина
8105326961,330792289,проспект Ленина
330792289,8105326972,проспект Ленина
8105326972,8246792934,проспект Ленина
8246792934,330792288,проспект Ленина
330792288,6311059521,проспект Ленина
6311059521,330792287,проспект Ленина
330792287,1589925154,проспект Ленина
1589925154,8236231749,проспект Ленина
8236231749,8236231755,проспект Ленина
8236231755,8236231757,проспект Ленина
8236231757,8253545558,проспект Ленина
8253545558,330792286,проспект Ленина
330792286,1589932746,проспект Ленина
1589932746,1590315161,проспект Ленина
1590315161,330779158,проспект Ленина
330948405,1590315163,проспект Ленина
1590315163,1589932747,проспект Ленина
1589932747,8107345237,проспект Ленина
8107345237,1590315160,проспект Ленина
1590315160,1590315159,проспект Ленина
1590315159,330948401,проспект Ленина
330948401,1590315158,проспект Ленина
1590315158,1590371186,проспект Ленина
1590371186,8110035789,проспект Ленина
8110035789,8107345234,проспект Ленина
8107345234,1590315157,проспект Ленина
1590315157,8246768901,проспект Ленина
8246768901,330948396,проспект Ленина
330948396,8107347186,проспект Ленина
8107347186,1590315156,проспект Ленина
1590315156,330948395,проспект Ленина
330948395,8110035792,проспект Ленина
8110035792,8105326970,проспект Ленина
8105326970,330948391,проспект Ленина
330948391,8105326960,проспект Ленина
8105326960,8292204003,проспект Ленина
8292204003,1593781410,проспект Ленина
1593781410,8100821555,проспект Ленина
8100821555,1590315154,проспект Ленина
1590075000,1590075023,-
1590075023,1590075058,-
1590075058,1590075099,-
1590317127,1590317124,улица Вяткина
1590317124,8111282350,улица Вяткина
8111282350,1590317147,улица Вяткина
1590317147,1590317159,улица Вяткина
989835731,8105326984,улица Вяткина
8105326984,8082980153,улица Вяткина
8082980153,989836260,улица Вяткина
989836260,1588312242,улица Вяткина
1588312242,8340902423,улица Вяткина
8340902423,1588356790,улица Вяткина
1588356790,8105326993,улица Вяткина
8105326993,989837235,улица Вяткина
989837235,8110054124,улица Вяткина
8110054124,8105326990,улица Вяткина
8105326990,1589925018,улица Вяткина
